id,message,intent,reply,judge_relevance,judge_tone,judge_actionability,judge_conciseness,judge_overall,human_relevance,human_tone,human_actionability,human_conciseness,human_overall
19,"11.1.1 destroyed battery life on my 6s and 11.1.2 is no better. I am stare at my phone, no apps open and watch it drop. Pls fix!",,We're sorry to hear about the battery life issues you're experiencing with iOS 11.1.1 and 11.1.2 on your iPhone 6s. Could you share with us in DM when you updated to iOS 11.1.2 so we can investigate further?,3,5,3,5,3,5,5,4,5,4
20,So now whenever I get any type of notification my music stops. you never seem to surprise me with these shitty updates when a new phone comes out.,,"We’re sorry to hear about the interruption with your music and the frustration with updates. Could you share which iOS version you’re currently using, and have you tried restarting your device to see if that resolves the issue? Please DM us for further assistance.",4,5,5,5,5,5,5,4,4,4
21,"My phone is fucking up completely, thanks 🙄 Thanks a lot.",,We're sorry to hear your phone is experiencing issues—thank you for letting us know. Can you share more details via DM so we can help resolve this for you?,3,5,5,5,4,4,5,4,5,4
22,been trying to restore my new iPhone X all day and my iTunes keeps saying something about “the phone has disconnected” help please!,,"We're sorry to hear you're experiencing issues restoring your iPhone X. Please ensure the connection is secure and try using a different USB cable. If the problem persists, feel free to DM us for further assistance.",4,5,4,5,4,5,5,5,5,5
23,I keep getting “activation server is temporarily unavailable on the new iPhone X when trying to activate. Please help! Im having the same issue since 1:30,,We’re sorry to hear you’re encountering the “activation server is temporarily unavailable” error on your iPhone X. Please DM us so we can assist you further.,2,4,1,5,2,4,4,2,5,3
24,"say fam, why can’t I️ update my phone?",,We’re sorry to hear you’re having trouble updating your phone. Could you send us a direct message so we can help investigate further?,2,5,4,5,4,4,5,3,5,4
25,The latest iOS iphone update is very buggy. Seems 2 have major issues w/ photo compression when posting 2 social media.,,We’re sorry to hear about the issues with photo compression after the update. Could you let us know which social media platforms you’re experiencing this on? Please DM us for further assistance.,3,5,5,5,4,5,5,4,5,5
26,"I'm pretty sure this email is a fake, right?",,"We understand your concern about the email's authenticity. Please check for suspicious links, sender details, or urgent language—common signs of phishing. For further assistance, feel free to DM us.",5,5,5,5,5,5,5,5,5,5
27,i’m just tryna listen to justin’s best album but it literally has disappeared from my music library and I don’t understand bc i’ve had it for years but it just gone.. and when I went of itunes it says purchased but.... literally wtf....,,We're sorry to hear your album is missing from your library. Could you share your device model and iOS version so we can help? Let's troubleshoot further via DM.,4,5,5,5,5,4,5,3,5,4
28,"lost all my files, which worth 1 year of stuff, just because you phone decided to be stuck at DFU Mode. Shame",,We’re truly sorry to hear about the frustration and data loss caused by your iPhone getting stuck in DFU mode. Could you send us a DM with details about the steps you’ve taken so far and whether you’ve tried connecting to a computer to recover your files? We’re here to help.,5,5,5,5,5,5,5,4,4,5
29,camera roll is no longer in chronological order? Some photos are missing. WTH. When can we expect a fix? #fail #ios11,,"We're sorry to hear about the disorganization and missing photos in your Camera Roll. To help resolve this, please DM us your iOS version and let us know if you've recently restarted your iPhone. We'll get back to you as soon as possible.",3,5,4,5,4,4,5,4,5,4
30,Really wish that my iMessage issues since High Sierra would get fixed. But no light in sight. 😕 #apple,,"We're sorry to hear about your iMessage issues. Could you let us know if you've tried restarting your device or checking for updates? If not, please DM us for further help.",2,4,3,5,3,4,5,3,5,4
